Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_ASSETS,1835464,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_EQUITY,525271,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,EPS,1.5190,PER_SHARE_GHS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,REVENUE,5686058,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,OPERATING_PROFIT,243084,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,PROFIT_AFTER_TAX,158394,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_ASSETS,1780306,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_EQUITY,442273,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,EPS,1.4284,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,REVENUE,5672210,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,OPERATING_PROFIT,241177,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,PROFIT_AFTER_TAX,161674,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_ASSETS,1661499,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_EQUITY,479285,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2022,2022-01-01,2022-12-31,EPS,1.4451,PER_SHARE_GHS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,REVENUE,3226984,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,OPERATING_PROFIT,151175,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,PROFIT_AFTER_TAX,104343,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_ASSETS,1134032,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_EQUITY,418561,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,EPS,0.9651,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,REVENUE,3218179,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,OPERATING_PROFIT,151125,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,PROFIT_AFTER_TAX,112744,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_ASSETS,1062695,GHS_THOUSANDS,GHS,TRUE,SEPARATE
